package1,package2,count
os,os,1005020
sys,sys,784379
django,django,618941
__future__,__future__,445335
os,sys,393311
sys,os,393311
time,time,359073
re,re,349309
logging,logging,338447
datetime,datetime,311685
numpy,numpy,298698
unittest,unittest,241692
json,json,241385
os,re,156765
re,os,156765
time,os,156320
os,time,156320
random,random,142625
collections,collections,140847
subprocess,subprocess,138888
logging,os,134478
os,logging,134478
sys,time,133396
time,sys,133396
re,sys,122375
sys,re,122375
math,math,119515
__future__,django,119335
django,__future__,119335
os,__future__,109319
__future__,os,109319
subprocess,os,106862
os,subprocess,106862
urllib,urllib,97426
shutil,shutil,95924
datetime,django,94111
django,datetime,94111
argparse,argparse,92188
os,json,91580
json,os,91580
logging,sys,90683
sys,logging,90683
os,shutil,89423
shutil,os,89423
threading,threading,89172
datetime,os,88659
os,datetime,88659
sys,__future__,86659
__future__,sys,86659
copy,copy,85307
tempfile,tempfile,83771
django,os,83707
os,django,83707
socket,socket,81162
matplotlib,matplotlib,80931
itertools,itertools,80771
setuptools,setuptools,80758
os,unittest,76013
unittest,os,76013
flask,flask,75326
subprocess,sys,75144
sys,subprocess,75144
numpy,os,74614
os,numpy,74614
mock,mock,74613
six,six,73351
traceback,traceback,72306
os,tempfile,71947
tempfile,os,71947
requests,requests,68705
functools,functools,68628
time,logging,67393
logging,time,67393
scipy,scipy,67199
string,string,66568
json,sys,64339
sys,json,64339
re,time,63974
time,re,63974
numpy,matplotlib,63406
matplotlib,numpy,63406
numpy,sys,62438
sys,numpy,62438
datetime,time,62263
time,datetime,62263
hashlib,hashlib,61282
sys,datetime,60733
datetime,sys,60733
warnings,warnings,60376
numpy,scipy,59049
scipy,numpy,59049
optparse,optparse,58442
sqlalchemy,sqlalchemy,57583
glob,glob,53753
logging,re,53592
re,logging,53592
sys,argparse,53099
argparse,sys,53099
uuid,uuid,52443
xml,xml,51654
sys,unittest,51394
unittest,sys,51394
numpy,__future__,51207
__future__,numpy,51207
distutils,distutils,51165
urllib2,urllib2,50651
argparse,os,49766
os,argparse,49766
re,datetime,49730
datetime,re,49730
PyQt4,PyQt4,48233
logging,datetime,47964
datetime,logging,47964
json,time,47217
time,json,47217
nose,nose,47208
base64,base64,46945
struct,struct,46805
collections,os,46458
os,collections,46458
urlparse,urlparse,46296
random,os,46162
os,random,46162
shutil,sys,45961
sys,shutil,45961
re,__future__,45391
__future__,re,45391
threading,time,45260
time,threading,45260
pytest,pytest,45072
glob,os,45004
os,glob,45004
datetime,json,44910
json,datetime,44910
logging,json,44359
json,logging,44359
south,south,43962
operator,operator,43005
south,django,42715
django,south,42715
traceback,sys,42053
sys,traceback,42053
utils,utils,41658
json,re,41336
re,json,41336
StringIO,StringIO,41310
random,sys,41056
sys,random,41056
twisted,twisted,41015
time,random,40110
random,time,40110
__future__,logging,40097
logging,__future__,40097
urllib,os,40095
os,urllib,40095
io,io,39998
traceback,os,39991
os,traceback,39991
