package1,package2,count
os,os,1005020
sys,sys,784379
django,django,618941
__future__,__future__,445335
os,sys,393311
sys,os,393311
time,time,359073
re,re,349309
logging,logging,338447
datetime,datetime,311685
numpy,numpy,298698
unittest,unittest,241692
json,json,241385
os,re,156765
re,os,156765
time,os,156320
os,time,156320
random,random,142625
collections,collections,140847
subprocess,subprocess,138888
logging,os,134478
os,logging,134478
sys,time,133396
time,sys,133396
re,sys,122375
sys,re,122375
